epoch,train_loss,val_loss,val_mae,train_residuals,val_residuals
0,,tensor(0.0841),tensor(0.2368),,
0,tensor(1.8159),tensor(0.0520),tensor(0.0919),,
1,tensor(1.8211),tensor(0.0520),tensor(0.0921),,
2,tensor(1.8159),tensor(0.0520),tensor(0.0920),,
3,tensor(1.8115),tensor(0.0520),tensor(0.0924),,
4,tensor(1.8056),tensor(0.0518),tensor(0.0915),,
5,tensor(1.7993),tensor(0.0513),tensor(0.0951),,
6,tensor(1.7929),tensor(0.0513),tensor(0.0953),,
7,tensor(1.8092),tensor(0.0513),tensor(0.0956),,
8,tensor(1.8038),tensor(0.0513),tensor(0.0962),,
9,tensor(1.8053),tensor(0.0513),tensor(0.0963),,
10,tensor(1.7944),tensor(0.0513),tensor(0.0965),,
