epoch,train_loss,val_loss,val_mae
0,,tensor(0.0305),tensor(0.1230)
0,,tensor(0.0170),tensor(0.0807)
1,tensor(0.0725),tensor(0.0170),tensor(0.0810)
2,tensor(0.0720),tensor(0.0170),tensor(0.0808)
3,tensor(0.0721),tensor(0.0170),tensor(0.0807)
4,tensor(0.0721),tensor(0.0170),tensor(0.0808)
5,tensor(0.0721),tensor(0.0170),tensor(0.0808)
6,tensor(0.0721),tensor(0.0170),tensor(0.0806)
7,tensor(0.0721),tensor(0.0170),tensor(0.0807)
8,tensor(0.0721),tensor(0.0170),tensor(0.0805)
9,tensor(0.0720),tensor(0.0170),tensor(0.0805)
10,tensor(0.0720),tensor(0.0170),tensor(0.0806)
